Locus,Class,Ref,Ho,Hs,FisWC,FstWC,AR,SW
One_sast_211,SNP,a,0.076,0.081,0.065,0.001,2.0,0.174
One_spf30_207,SNP,a,0.385,0.401,0.042,0.010,2.0,0.595
One_ssrd_135,SNP,a,0.486,0.493,0.015,0.005,2.0,0.689
One_STC_410,SNP,a,0.440,0.449,0.020,0.008,2.0,0.645
One_STR07,SNP,a,0.454,0.455,0.001,0.052,2.0,0.676
One_SUMO1_6,SNP,a,0.271,0.286,0.046,0.023,2.0,0.465
One_sys1_230,SNP,a,0.412,0.416,0.007,0.026,2.0,0.620
One_taf12_248,SNP,a,0.128,0.127,-0.003,0.042,2.0,0.259
One_Tf_ex10_750,SNP,a,0.206,0.209,0.014,0.086,2.0,0.385
One_Tf_ex3_182,SNP,a,0.422,0.423,0.002,0.161,2.0,0.693
One_tshB_92,SNP,a,0.135,0.134,-0.003,0.004,2.0,0.262
One_U1003_75,SNP,a,0.369,0.393,0.061,0.027,2.0,0.590
One_U1004_183,SNP,a,0.370,0.378,0.019,0.253,2.0,0.693
One_U1009_91,SNP,a,0.457,0.467,0.021,0.046,2.0,0.683
One_U1010_81,SNP,a,0.034,0.036,0.043,0.019,1.6,0.088
One_U1012_68,SNP,a,0.318,0.325,0.021,0.060,2.0,0.529
One_U1013_108,SNP,a,0.162,0.171,0.045,0.008,2.0,0.314
One_U1014_74,SNP,a,0.340,0.345,0.014,0.013,2.0,0.536
One_U1016_115,SNP,a,0.437,0.452,0.028,0.002,2.0,0.646
One_U1024_197,SNP,a,0.084,0.085,0.018,0.006,2.0,0.183
One_U1101,SNP,a,0.173,0.185,0.062,0.014,2.0,0.334
One_U1103,SNP,a,0.039,0.039,-0.009,0.005,1.8,0.100
One_U1105,SNP,a,0.223,0.223,0.001,0.013,2.0,0.384
One_U1201_492,SNP,a,0.474,0.475,-0.005,0.019,2.0,0.676
One_U1202_1052,SNP,a,0.449,0.472,0.053,0.010,2.0,0.669
One_U1203_175,SNP,a,0.498,0.489,-0.014,0.008,2.0,0.686
One_U1204_53,SNP,a,0.402,0.412,0.023,0.013,2.0,0.607
One_U1205_57,SNP,a,0.068,0.066,-0.023,0.019,1.9,0.149
One_U1206_108,SNP,a,0.232,0.232,0.001,0.013,2.0,0.398
One_U1208_67,SNP,a,0.379,0.386,0.021,0.004,2.0,0.578
One_U1209_111,SNP,a,0.300,0.304,0.009,0.021,2.0,0.490
One_U1210_173,SNP,a,0.080,0.080,-0.002,0.015,1.9,0.177
One_U1212_106,SNP,a,0.463,0.472,0.021,0.013,2.0,0.670
One_U1214_107,SNP,a,0.026,0.034,0.200,0.025,1.6,0.082
One_U1216_230,SNP,a,0.245,0.250,0.023,0.014,2.0,0.421
One_U301_92,SNP,a,0.240,0.252,0.047,0.022,2.0,0.423
One_U401_224,SNP,a,0.385,0.385,-0.003,0.006,2.0,0.575
One_U404_229,SNP,a,0.101,0.101,-0.004,0.004,2.0,0.205
One_U502_167,SNP,a,0.028,0.028,0.005,0.003,1.7,0.077
One_U503_170,SNP,a,0.249,0.247,-0.007,0.010,2.0,0.417
One_U504_141,SNP,a,0.423,0.420,-0.008,0.008,2.0,0.616
One_vamp5_255,SNP,a,0.404,0.416,0.029,0.006,2.0,0.610
One_vatf_214,SNP,a,0.291,0.289,-0.004,0.016,2.0,0.472
One_VIM_569,SNP,a,0.240,0.246,0.026,0.010,2.0,0.415
One_ZNF_61,SNP,a,0.474,0.475,0.002,0.005,2.0,0.671
One_zP3b,SNP,a,0.041,0.041,-0.012,0.009,1.9,0.099
One_Omy77v4,mSat,a,0.642,0.642,0.002,0.019,7.7,1.379
One_One100,mSat,a,0.910,0.910,0.001,0.004,17.1,2.674
One_One102v4,mSat,a,0.876,0.879,0.002,0.008,12.8,2.347
One_One103PT,mSat,a,0.946,0.950,0.004,0.003,28.8,3.310
One_One105,mSat,a,0.511,0.514,0.007,0.004,6.3,1.091
One_One108v4,mSat,a,0.893,0.896,0.004,0.005,18.0,2.609
One_One110v4,mSat,a,0.874,0.883,0.008,0.007,16.3,2.514
One_One111v4,mSat,a,0.893,0.890,-0.002,0.008,21.8,2.759
One_One114v4,mSat,a,0.921,0.927,0.006,0.003,18.9,2.815
One_One115,mSat,a,0.884,0.873,-0.013,0.007,13.2,2.319
One_Ots103v4,mSat,a,0.891,0.889,-0.002,0.028,15.8,2.631
One_Ots107v4,mSat,a,0.540,0.539,-0.005,0.018,4.9,1.105
One_uSat60v4,mSat,a,0.539,0.551,0.021,0.003,5.0,0.967
HaploCode,SNPmt,a,NA,0.450,NA,0.025,NA,NA
105,allSNP,a,0.296,0.302,0.020,0.028,2.0,NA
106,allmSat,a,0.794,0.796,0.002,0.009,14.4,NA
