Loc,FBM1_095,FBM2_095,FBM3_095,FBM4_095,FTM1_095,FTM2_095,FTM3_093,FTM4_078,FTM5_095,FTM6_095,KBL1_096,KBL2_097,KBL4_096,KBL5_096,KOL1_062,KTE1_096,KTE2_096,KTE3_096,KTE4_066,KTE5_096,KTE6_096,KTE7_096,KTE8_096,KTE9_064,KTL1_095,KTL2_095,RBL1_095,RBL2_095,RBL3_095,RBL4_095,RTE1_095,RTE2_095,RUL1_096
One_E2,0.2856,0.0377,0.7262,1.0000,0.0806,0.5123,1.0000,0.7512,0.2234,1.0000,0.4970,0.0094,0.4835,0.4794,0.1004,0.2780,0.2469,0.6911,0.0524,0.3524,0.2623,0.2941,1.0000,1.0000,0.6127,0.1236,1.0000,1.0000,0.6199,0.3879,1.0000,1.0000,0.7857
One_gdh_212,1.0000,0.2167,1.0000,1.0000,0.2876,0.4701,0.0932,0.0722,0.2292,1.0000,0.3330,0.0890,0.6003,0.3103,1.0000,0.3436,0.4475,0.7845,0.3209,0.4503,0.5972,0.3140,1.0000,0.0749,0.1620,1.0000,1.0000,0.0731,0.2910,0.2342,0.8371,0.3758,0.5230
One_GHII_2461,1.0000,1.0000,-,1.0000,1.0000,0.3691,1.0000,1.0000,1.0000,1.0000,0.5398,0.4469,1.0000,1.0000,0.0007,1.0000,0.3623,0.4622,0.2015,0.4662,1.0000,0.2207,0.4506,1.0000,0.0750,0.3591,0.0945,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
One_ghsR_66,0.6081,0.3037,0.5783,0.5566,1.0000,1.0000,1.0000,0.7218,0.7867,0.1785,0.8305,0.1472,1.0000,0.6841,0.5862,0.4660,1.0000,1.0000,1.0000,0.6222,1.0000,1.0000,0.4854,0.5659,0.8238,0.1882,0.7293,1.0000,1.0000,0.2043,0.1676,0.6839,0.4475
One_GPDH,1.0000,0.6710,1.0000,0.3816,0.5357,0.6703,0.0412,1.0000,0.6760,0.0626,0.2942,0.3934,0.2926,0.6624,0.1981,1.0000,0.6734,0.5209,0.4059,0.8278,0.1913,0.8291,0.3023,0.1003,0.6697,0.6669,1.0000,0.8259,1.0000,0.0604,1.0000,0.5404,0.4001
One_GPDH2,1.0000,0.0530,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0160,1.0000,0.4469,0.4544,0.1874,1.0000,1.0000,1.0000,1.0000,1.0000,-,1.0000,1.0000,1.0000,1.0000,0.1637,1.0000,1.0000,1.0000,1.0000,0.0789,1.0000,1.0000,1.0000,0.0000
One_GPH_414,0.0451,0.0952,1.0000,1.0000,0.0884,0.8306,0.6785,0.4774,0.8373,0.0997,0.5002,0.6341,0.7990,0.4713,0.1276,0.2592,0.2949,0.6841,1.0000,1.0000,1.0000,0.2764,0.1904,0.7949,0.5844,0.6389,0.1999,0.2867,0.8290,0.6540,0.3051,0.8252,0.0364
One_hcs71_220,0.0063,1.0000,1.0000,0.2473,1.0000,1.0000,1.0000,1.0000,0.5017,0.4977,1.0000,1.0000,1.0000,0.2267,1.0000,0.4622,0.5017,0.0184,0.4800,0.5017,0.5481,1.0000,0.5909,0.1663,1.0000,0.0176,1.0000,0.2635,0.1818,1.0000,1.0000,1.0000,1.0000
One_HGFA,1.0000,0.6484,0.0059,0.3142,0.1124,1.0000,0.1625,0.1718,1.0000,0.1008,0.1944,0.7885,0.4543,0.4948,1.0000,0.1133,1.0000,1.0000,1.0000,0.4715,0.7018,0.3093,0.4582,0.6190,1.0000,1.0000,0.8310,0.6267,0.6287,0.0627,0.0945,0.3250,0.6367
One_HpaI_436,0.0721,0.3680,0.4375,0.1076,0.0758,1.0000,0.3288,1.0000,0.8113,0.5949,0.2262,0.7735,0.0013,0.2246,0.4165,0.2842,0.6214,0.7956,0.3431,0.6275,1.0000,0.1627,0.3812,1.0000,0.0533,0.0801,0.6443,0.4117,0.2524,0.4157,0.3532,0.8141,0.2281
One_HpaI_99,0.8365,0.8349,0.8342,1.0000,0.3880,1.0000,0.6801,0.8185,0.4061,1.0000,0.8354,0.8336,0.1971,0.5264,0.1831,0.1349,0.1451,0.6648,0.8039,0.6695,0.2020,0.5250,0.1472,0.5882,0.2957,0.2960,0.2625,0.0994,1.0000,1.0000,1.0000,0.1401,1.0000
One_Hsp47,0.4247,0.7547,1.0000,0.8015,1.0000,0.0572,1.0000,1.0000,0.5961,0.2887,1.0000,1.0000,0.2362,0.4127,0.3041,0.0854,0.3490,0.2151,0.4672,1.0000,0.1638,0.4408,0.6127,1.0000,1.0000,0.7963,0.3491,1.0000,0.6956,0.7890,0.2495,0.8107,1.0000
One_IL8r_362,1.0000,1.0000,1.0000,1.0000,1.0000,0.1153,1.0000,1.0000,1.0000,1.0000,1.0000,0.1408,0.0147,1.0000,1.0000,1.0000,1.0000,0.5957,1.0000,1.0000,1.0000,0.3068,0.4031,0.1588,1.0000,1.0000,0.4506,1.0000,1.0000,0.0620,1.0000,1.0000,0.1818
One_KCT1_453,0.4544,0.1886,1.0000,0.5481,0.4176,1.0000,1.0000,0.1742,1.0000,1.0000,0.1071,1.0000,1.0000,1.0000,0.0016,1.0000,0.3181,0.2745,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3558,1.0000,1.0000,0.5911,1.0000,0.1886,0.3962
One_KPNA_422,1.0000,0.7319,0.5566,1.0000,0.5994,0.1469,1.0000,1.0000,0.6807,0.6052,0.4550,0.4218,1.0000,1.0000,0.5057,1.0000,0.1221,0.5897,0.5250,1.0000,1.0000,0.3524,0.7729,0.4815,0.0452,1.0000,0.1023,0.6632,0.1148,0.6839,0.2613,0.3523,1.0000
One_LEI_87,1.0000,0.0330,1.0000,0.1114,0.1166,1.0000,0.4769,0.2781,0.4910,1.0000,0.2402,0.4843,0.5103,0.7573,0.0163,1.0000,0.3818,0.2623,0.4331,0.5515,0.2302,0.0721,0.7543,0.7207,0.7735,0.5673,0.0188,1.0000,0.6956,0.2874,1.0000,1.0000,0.5290
One_lpp1_44,1.0000,0.6397,0.3700,0.2629,0.0473,1.0000,0.2798,0.6408,0.5141,0.3891,0.0998,0.2953,0.5215,0.1408,0.4302,1.0000,0.2629,0.0450,0.0805,0.2489,0.6438,0.8251,0.2634,1.0000,0.4901,0.6767,0.6779,0.3929,1.0000,0.0060,0.8368,0.3924,1.0000
One_MHC2_190,0.0380,0.8199,0.8290,0.6538,0.4715,0.2271,1.0000,0.0917,0.0692,1.0000,0.1190,0.1302,0.6470,0.0360,1.0000,0.3779,0.1841,0.0009,0.0153,0.0092,0.3640,1.0000,0.5212,0.5762,0.5520,0.6410,0.8107,1.0000,0.7856,0.5930,0.2890,0.0993,0.3538
One_MHC2_251,0.2405,0.5306,0.8319,0.8277,0.3589,0.8244,1.0000,0.0969,0.0469,0.8355,0.6199,0.4306,0.5488,0.4127,0.5985,0.4201,0.3886,0.6576,0.1503,0.6430,0.4510,1.0000,0.5099,0.5928,0.5515,0.7293,0.6513,0.5958,1.0000,0.3250,0.0132,0.0226,0.3493
One_Mkpro_129,0.1091,0.5277,1.0000,0.6691,0.6508,0.3640,0.3910,0.2634,0.5309,0.6813,0.2923,0.5106,0.3833,1.0000,1.0000,0.3461,0.3649,0.1220,0.0101,0.0989,0.4805,0.8320,0.6628,1.0000,0.0572,0.0938,1.0000,0.8137,1.0000,1.0000,0.6838,1.0000,0.8353
One_ODC1_196,0.0533,0.6801,0.8309,0.8273,0.4041,0.5243,1.0000,0.0392,0.0965,1.0000,1.0000,0.2269,0.5284,0.7473,1.0000,1.0000,0.8316,0.8121,0.2095,0.3250,1.0000,0.2907,0.0905,0.4452,0.3634,0.7557,0.6470,0.2066,0.3863,1.0000,0.1526,0.1472,0.4012
One_Ots208_234,1.0000,1.0000,1.0000,1.0000,0.2256,1.0000,0.2025,0.3034,1.0000,0.6064,1.0000,1.0000,1.0000,0.4506,1.0000,1.0000,1.0000,0.0620,1.0000,1.0000,0.0276,0.4544,0.3527,1.0000,1.0000,1.0000,0.1112,0.1944,0.1461,0.0504,0.3566,0.3962,1.0000
One_Ots213_181,0.6138,0.8151,0.0119,0.2330,0.0336,0.0641,0.4137,1.0000,0.6344,0.6164,0.0977,1.0000,0.6513,0.0694,1.0000,0.5327,0.3129,0.0295,0.7182,0.0189,1.0000,1.0000,1.0000,1.0000,0.4832,0.7871,0.4716,0.8107,1.0000,0.4713,0.1330,0.6389,0.4506
One_p53_576,1.0000,1.0000,1.0000,1.0000,0.0781,1.0000,1.0000,1.0000,1.0000,-,1.0000,0.6548,1.0000,0.3523,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0132,0.3068,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,-
One_pax7_248,0.1467,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4031,1.0000,0.5888,1.0000,1.0000,1.0000,0.1836,0.3093,1.0000,0.1541,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3591,1.0000,0.4506,0.6191
One_PIP,0.3793,0.4790,0.3473,1.0000,0.1862,0.6419,0.4756,1.0000,0.1458,0.3974,0.4715,0.5175,0.7549,1.0000,0.1188,0.7843,1.0000,0.0082,0.3719,0.0364,0.0695,1.0000,0.5463,0.0683,0.5767,0.3506,0.4960,0.8193,0.2713,0.8151,0.0587,1.0000,0.0579
One_Prl2,0.3849,0.0410,1.0000,0.3865,0.8348,0.2022,0.8353,0.0649,0.8354,0.4112,1.0000,0.3036,1.0000,0.1809,0.5206,0.8121,0.4475,0.6306,0.0074,0.3616,0.6638,0.3637,0.8320,0.1054,0.4586,0.0507,0.6813,0.2868,0.5309,1.0000,0.6844,0.3082,0.0042
One_rab1a_76,1.0000,0.6576,0.5064,0.8193,0.6298,1.0000,0.3315,0.8184,1.0000,0.8328,0.5801,0.1956,0.8059,0.5961,0.2708,0.7811,0.3330,0.3849,1.0000,0.5815,0.2302,0.7735,0.3867,1.0000,0.1777,0.7861,0.4132,1.0000,0.0193,0.2956,0.0506,0.8278,1.0000
One_RAG1_103,1.0000,1.0000,0.3181,1.0000,1.0000,0.0588,0.2692,1.0000,0.3122,1.0000,-,1.0000,1.0000,1.0000,-,1.0000,0.0734,1.0000,1.0000,1.0000,1.0000,0.5969,1.0000,1.0000,1.0000,1.0000,1.0000,0.3591,1.0000,1.0000,0.5439,0.3523,-
One_RAG3_93,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3623,1.0000,0.1855,1.0000,0.2635,0.5398,0.5963,0.5523,1.0000,0.0715,0.0620,1.0000,0.5918,0.3468,0.1161,0.0797,0.0665,0.1350,1.0000,0.5910,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1818
One_redd1_414,1.0000,0.1841,0.0278,1.0000,1.0000,0.0109,0.1722,1.0000,0.1841,0.5090,0.6804,0.1757,0.8282,1.0000,0.1212,0.3501,0.2645,0.0012,0.1813,0.3104,0.2292,0.0045,0.8212,0.7175,0.4648,0.5121,0.8265,1.0000,1.0000,0.3978,0.4713,0.2328,0.0393
One_RF_112,1.0000,0.1991,0.5091,0.0020,0.5424,0.2203,0.6840,1.0000,1.0000,1.0000,0.3594,1.0000,0.2941,1.0000,0.0039,0.7539,1.0000,0.4030,0.3442,0.4234,0.1765,0.6227,0.1358,0.2562,0.1073,0.7645,1.0000,0.4155,0.3352,1.0000,0.6052,0.6891,0.5794
One_RF_295,1.0000,1.0000,1.0000,-,1.0000,1.0000,1.0000,-,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0169,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
One_rpo2j_261,0.2642,0.6429,0.2409,0.8121,0.6317,0.4921,0.8030,0.0577,0.7959,1.0000,0.0580,0.4822,0.8278,0.0209,0.5268,0.6126,0.5503,0.7890,0.7257,0.1854,1.0000,0.6306,0.7959,0.3740,0.2231,0.6425,0.0583,1.0000,0.6548,0.6535,1.0000,1.0000,0.6081
One_sast_211,0.1818,1.0000,1.0000,0.1499,1.0000,1.0000,1.0000,0.0639,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0412,1.0000,0.1467,1.0000,1.0000,1.0000,0.1612,0.2616,0.0553,1.0000,0.2207,1.0000,1.0000,0.0525,-,0.2229
One_spf30_207,0.8039,0.2527,0.1376,1.0000,0.4755,0.7919,0.8215,1.0000,0.4983,0.5755,0.1101,0.5213,0.2927,0.4157,1.0000,0.7717,0.7539,1.0000,0.7577,0.3817,0.3623,0.1714,1.0000,0.7585,0.3028,0.7729,0.5019,0.2495,0.6256,0.4822,1.0000,1.0000,0.0001
One_ssrd_135,1.0000,0.6810,0.0942,0.8278,0.5138,0.5100,0.0611,0.0824,0.2998,1.0000,0.1472,0.4112,1.0000,0.0393,0.4281,1.0000,0.2155,1.0000,0.0245,0.2119,0.0865,0.6748,0.6811,0.1700,1.0000,0.6830,0.8343,0.2798,0.6697,0.8336,0.0394,0.6628,0.3865
One_STC_410,1.0000,0.2777,0.0323,0.1572,0.3649,0.8089,1.0000,0.7885,0.3140,0.5216,0.8151,0.4840,0.6804,0.6127,1.0000,0.7866,0.5532,0.0122,0.3607,0.8252,0.6218,0.8017,1.0000,1.0000,1.0000,0.2629,0.3455,0.6429,0.4929,0.4713,0.3019,0.2877,0.5217
One_STR07,0.2949,0.5127,0.6712,0.8266,0.6678,1.0000,0.2120,1.0000,1.0000,0.8376,0.6452,0.5794,0.2418,1.0000,1.0000,0.0696,0.5040,0.8306,1.0000,0.7507,0.6306,0.3265,0.0900,0.5206,1.0000,0.4098,0.8376,0.3049,0.2215,1.0000,0.5330,0.6759,0.0391
One_SUMO1_6,1.0000,1.0000,0.3498,1.0000,0.4516,1.0000,0.4103,1.0000,1.0000,1.0000,0.6148,0.5495,1.0000,0.1110,0.0795,0.7684,0.0488,1.0000,0.2917,1.0000,0.0077,0.0122,0.7385,0.0092,0.5151,1.0000,0.1598,1.0000,0.2723,0.1679,1.0000,0.5439,0.5937
One_sys1_230,0.8008,0.6256,0.2838,0.2538,0.3680,0.0326,0.4791,1.0000,1.0000,0.3870,1.0000,0.3444,0.1933,0.6548,0.6804,0.0326,1.0000,0.0443,0.5238,0.3606,0.5577,0.7857,0.5755,1.0000,0.4524,0.6164,0.6287,0.2677,0.4854,0.5166,0.5007,0.5300,0.0341
One_taf12_248,1.0000,0.5481,1.0000,1.0000,0.0011,0.3726,0.1955,1.0000,0.6839,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1515,0.1423,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6414,0.3493,1.0000,0.7944,0.3495,-
One_Tf_ex10_750,1.0000,1.0000,1.0000,-,1.0000,1.0000,1.0000,0.1719,1.0000,1.0000,1.0000,1.0000,1.0000,0.0064,1.0000,0.1727,0.5091,0.2864,1.0000,1.0000,0.7162,0.7645,1.0000,0.5103,0.7576,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2099
One_Tf_ex3_182,0.7768,0.6226,0.5915,0.5696,1.0000,0.3565,0.4499,1.0000,0.1979,0.2445,0.8194,0.6127,0.5084,0.1187,0.0714,1.0000,0.1363,0.4557,0.2721,0.4929,0.3077,0.1003,0.4930,0.5736,1.0000,0.3369,0.8207,0.7780,0.4983,0.7956,1.0000,0.5958,0.0792
One_tshB_92,1.0000,1.0000,0.5891,1.0000,1.0000,0.1914,1.0000,0.4773,0.5938,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0003,0.5911,1.0000,1.0000,0.0395,0.0542,1.0000,1.0000,1.0000,0.3150,1.0000,1.0000,1.0000,0.6064,0.5938,0.5887,1.0000,1.0000
One_U1003_75,0.5697,0.1974,0.1805,0.7797,0.0406,0.2925,0.3909,1.0000,0.5743,0.1290,0.3038,0.5176,0.8315,0.1619,1.0000,0.4816,0.1584,0.1357,0.5696,0.0031,0.0807,0.3210,0.1055,0.1111,0.2317,0.2851,1.0000,0.5752,0.3623,0.7881,0.1298,0.5565,0.1782
One_U1004_183,0.5142,0.5365,0.6745,0.1438,0.1229,0.3952,1.0000,1.0000,0.5317,0.6743,1.0000,0.6956,1.0000,1.0000,0.0015,0.0905,0.0651,0.0464,0.7590,1.0000,0.3853,0.5124,0.2976,1.0000,0.1693,0.6861,0.2644,1.0000,1.0000,0.7719,1.0000,1.0000,1.0000
One_U1009_91,0.5317,1.0000,0.0388,0.8274,0.2880,0.5267,1.0000,0.4873,1.0000,0.6810,0.8320,0.1299,0.8212,0.5002,0.0158,0.8216,0.3405,0.4600,0.2529,1.0000,0.4300,0.6362,0.3448,0.5463,0.8077,0.8194,0.5384,0.5329,0.1526,0.3978,0.5375,0.6781,0.2698
One_U1010_81,-,-,-,-,-,1.0000,1.0000,-,-,1.0000,1.0000,1.0000,-,1.0000,1.0000,0.1956,1.0000,0.1836,0.3077,1.0000,1.0000,1.0000,1.0000,1.0000,-,1.0000,-,-,-,-,1.0000,-,0.2615
One_U1012_68,0.3731,0.6469,0.3034,0.0794,0.7970,0.8084,0.5936,1.0000,0.8343,0.0833,0.3021,1.0000,0.5909,1.0000,0.1358,0.0002,0.0543,1.0000,1.0000,1.0000,1.0000,0.5963,1.0000,1.0000,0.6575,0.1638,0.4345,0.6499,0.8240,0.1098,0.8113,0.1187,1.0000
One_U1013_108,0.1920,0.4544,1.0000,1.0000,0.4234,0.5994,0.1569,1.0000,0.3558,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.5227,0.1078,0.4214,1.0000,0.2306,0.5906,1.0000,0.2679,1.0000,0.4287,0.5058,1.0000,0.3558,1.0000,0.3093,0.5439,0.6367,0.5640
One_U1014_74,0.2184,1.0000,1.0000,0.0614,0.2835,1.0000,0.5962,0.4003,1.0000,1.0000,0.1826,1.0000,1.0000,0.7707,1.0000,0.5101,0.4137,0.3487,1.0000,0.1152,0.7581,0.0079,0.2306,1.0000,0.1092,0.1073,0.6375,0.0200,0.1321,0.8207,0.8046,0.3829,0.1187
One_U1016_115,0.4788,0.8194,1.0000,0.8137,1.0000,0.6368,0.6712,0.3021,0.8274,0.1039,0.6389,0.1276,0.3654,0.5166,0.1855,1.0000,1.0000,0.6563,0.5580,0.6493,0.5071,0.2769,1.0000,0.1096,0.8030,1.0000,1.0000,0.2589,0.8151,0.4368,0.3532,1.0000,0.8039
One_U1024_197,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0110,1.0000,0.1800,1.0000,1.0000,1.0000,0.4103,0.4544,1.0000,1.0000,1.0000,0.0525,1.0000,1.0000,1.0000,1.0000,1.0000,0.0773
One_U1101,0.1128,1.0000,1.0000,0.5985,1.0000,1.0000,1.0000,0.1407,0.3538,1.0000,0.0239,0.1886,1.0000,0.1513,1.0000,0.1858,1.0000,0.0052,1.0000,0.0103,0.5481,1.0000,0.1513,0.3685,0.4743,1.0000,0.4031,0.2267,1.0000,1.0000,0.6191,0.6191,0.4326
One_U1103,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,1.0000,1.0000,-,1.0000,-,1.0000,1.0000,1.0000,-,1.0000,-,1.0000,1.0000,1.0000,1.0000,1.0000,0.3122,-
One_U1105,1.0000,0.6288,1.0000,0.6521,0.2769,0.5271,1.0000,1.0000,1.0000,0.5906,0.7727,0.7293,0.1912,0.1321,1.0000,0.3464,0.3768,0.3495,0.4222,0.0041,1.0000,1.0000,1.0000,1.0000,1.0000,0.5145,1.0000,1.0000,0.5938,0.5481,1.0000,1.0000,1.0000
One_U1201_492,0.6331,0.8271,0.6473,1.0000,0.6402,0.0383,1.0000,0.1913,0.8170,0.1922,1.0000,0.6796,0.3065,0.2906,0.1945,1.0000,0.8327,0.5093,0.0757,0.2741,0.5317,0.2922,0.5365,0.4393,1.0000,0.2150,0.6531,0.5047,1.0000,0.4371,0.1348,0.4007,0.6810
One_U1202_1052,0.6213,0.1206,1.0000,0.2759,0.0672,0.1815,0.2659,0.8079,0.8110,0.8218,0.0868,0.3082,0.8382,0.5309,1.0000,0.2214,0.8309,0.0845,0.6048,0.0331,0.1894,0.0524,0.6470,0.4258,0.1846,1.0000,1.0000,0.0932,0.2495,0.8194,0.5303,1.0000,0.5288
One_U1203_175,0.1941,0.2936,0.6749,0.5139,1.0000,0.0916,0.6780,0.3574,0.6764,1.0000,0.1974,0.1877,0.2926,0.3407,0.0905,0.2778,0.3925,0.5099,1.0000,0.3743,0.3042,0.3870,0.2117,0.0293,0.8063,1.0000,0.0955,0.6826,0.6809,0.0608,0.0391,0.1399,0.0855
One_U1204_53,0.5930,1.0000,0.8030,1.0000,0.7981,0.3405,0.8227,0.3805,0.0560,0.0648,0.6738,0.8232,0.0427,0.5230,0.7734,0.5466,0.5503,0.0468,1.0000,0.2375,1.0000,0.5519,1.0000,0.5207,0.8021,0.6652,0.1249,0.7944,0.8097,0.2342,1.0000,0.6145,0.3873
One_U1205_57,1.0000,1.0000,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3212,1.0000,1.0000,0.1782,1.0000,0.4977,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-,-,-,1.0000
One_U1206_108,1.0000,1.0000,0.3514,0.0121,0.3471,0.3487,0.6891,1.0000,1.0000,0.6064,1.0000,1.0000,0.1513,0.2723,1.0000,0.2375,0.5969,1.0000,0.2895,0.7328,0.6840,1.0000,0.1569,0.1854,0.3411,0.0098,0.6956,0.5963,1.0000,0.2435,1.0000,0.6876,1.0000
One_U1208_67,0.3778,1.0000,0.2385,0.7784,0.5501,0.3683,0.5783,1.0000,0.4391,0.4218,0.0060,0.7990,0.3578,1.0000,0.6795,0.5915,0.3710,0.0354,0.4891,0.1022,0.5464,1.0000,0.5752,0.2647,0.7489,0.2167,0.1460,0.2148,1.0000,0.6429,0.2103,0.4008,0.4469
One_U1209_111,0.5293,0.6984,0.7607,0.7470,0.0185,0.5749,1.0000,1.0000,0.5213,0.3829,0.2212,0.5070,1.0000,0.2882,0.0273,0.5609,1.0000,0.7418,1.0000,0.6414,0.1138,1.0000,0.5930,1.0000,0.6777,0.7319,0.5482,0.7861,0.4580,0.7729,0.0287,1.0000,1.0000
One_U1210_173,1.0000,0.5930,0.2745,0.4292,1.0000,1.0000,1.0000,1.0000,1.0000,0.2207,1.0000,1.0000,1.0000,0.2640,1.0000,1.0000,1.0000,-,-,-,1.0000,-,-,1.0000,1.0000,1.0000,1.0000,1.0000,0.1082,1.0000,1.0000,0.4544,0.5909
One_U1212_106,0.7830,1.0000,1.0000,0.1443,1.0000,0.6622,0.3738,0.7961,0.6652,1.0000,0.2175,0.6767,1.0000,0.8354,1.0000,0.2083,0.8316,0.2119,0.7978,0.8306,0.3649,0.1388,0.5351,0.2969,1.0000,1.0000,0.1383,0.3964,0.6700,0.0545,0.3549,1.0000,0.2850
One_U1214_107,-,-,-,-,-,-,-,-,-,-,1.0000,1.0000,-,1.0000,0.0000,0.2345,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1836,0.0072,1.0000,-,-,-,-,-,-,-,0.0781
One_U1216_230,0.3167,0.1233,0.4544,1.0000,0.5904,1.0000,1.0000,0.6016,0.7293,0.4977,0.0701,0.2896,0.6839,0.3450,1.0000,1.0000,0.3733,0.6758,0.1941,1.0000,0.7551,0.0870,0.1716,0.3852,1.0000,1.0000,0.2613,0.0372,0.6883,0.1068,0.6191,0.5439,0.0803
