Ind,Pop,One_ACBP_79,One_agt_132,One_aldB_152,One_apoe_83,One_c3_98,One_CD9_269,One_cetn1_167,One_CFP1,One_cin_177,One_CO1,One_ctgf_301,One_Cytb_17,One_Cytb_26,One_E2,One_gdh_212,One_GHII_2461,One_ghsR_66,One_GPDH,One_GPDH2,One_GPH_414,One_hcs71_220,One_HGFA,One_HpaI_436,One_HpaI_99,One_Hsp47,One_IL8r_362,One_KCT1_453,One_KPNA_422,One_LEI_87,One_lpp1_44,One_metA_253,One_MHC2_190,One_MHC2_251,One_Mkpro_129,One_ODC1_196,One_Ots208_234,One_Ots213_181,One_p53_576,One_pax7_248,One_PIP,One_Prl2,One_rab1a_76,One_RAG1_103,One_RAG3_93,One_redd1_414,One_RF_112,One_RF_295,One_rpo2j_261,One_sast_211,One_spf30_207,One_srp09_127,One_ssrd_135,One_STC_410,One_STR07,One_SUMO1_6,One_sys1_230,One_taf12_248,One_Tf_ex10_750,One_Tf_ex3_182,One_tshB_92,One_txnip_401,One_U1003_75,One_U1004_183,One_U1009_91,One_U1010_81,One_U1012_68,One_U1013_108,One_U1014_74,One_U1016_115,One_U1024_197,One_U1101,One_U1103,One_U1105,One_U1201_492,One_U1202_1052,One_U1203_175,One_U1204_53,One_U1205_57,One_U1206_108,One_U1208_67,One_U1209_111,One_U1210_173,One_U1212_106,One_U1214_107,One_U1216_230,One_U301_92,One_U401_224,One_U404_229,One_U502_167,One_U503_170,One_U504_141,One_vamp5_255,One_vatf_214,One_VIM_569,One_ZNF_61,One_zP3b,One_Omy77v4,One_One100,One_One102v4,One_One103PT,One_One105,One_One108v4,One_One110v4,One_One111v4,One_One114v4,One_One115,One_Ots103v4,One_Ots107v4,One_uSat60v4
KTE1_011,KTE1,001/002,002/002,001/002,002/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/002,002/002,001/002,002/002,001/001,001/002,001/001,002/002,001/001,002/002,001/001,001/002,001/002,001/001,001/002,001/002,001/002,002/002,002/002,002/002,002/002,002/002,001/001,001/002,001/001,002/002,001/001,001/002,001/002,001/001,001/002,001/001,001/002,002/002,001/002,002/002,001/002,001/002,001/001,001/001,001/002,001/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,001/001,002/002,002/002,001/001,002/002,002/002,001/002,002/002,002/002,001/001,001/002,001/001,001/001,001/002,002/002,001/001,002/002,001/001,002/002,001/002,001/001,001/001,002/002,002/002,001/001,001/002,001/002,002/002,000/000,001/003,031/038,010/012,038/039,004/004,010/010,008/021,006/025,013/015,011/013,007/017,004/005,003/003
KTE1_012,KTE1,001/002,002/002,002/002,002/002,002/002,002/002,002/002,001/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/001,002/002,000/000,002/002,001/002,001/002,001/002,002/002,001/001,002/002,001/001,001/002,001/002,001/001,001/002,001/002,001/002,002/002,002/002,002/002,002/002,001/002,001/001,001/002,001/001,002/002,001/001,001/001,001/001,001/001,001/001,000/000,001/002,002/002,001/002,001/002,001/001,002/002,001/002,001/001,001/002,001/001,001/001,001/001,000/000,002/002,001/002,002/002,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,001/002,001/002,001/001,001/001,001/002,001/002,001/002,002/002,002/002,001/002,002/002,001/002,002/002,001/002,001/001,001/001,001/001,002/002,001/001,002/002,002/002,001/002,002/002,003/003,031/032,009/014,014/036,002/008,010/028,008/025,005/020,014/015,009/014,012/016,004/004,003/003
KTE1_013,KTE1,000/000,001/002,001/002,001/002,002/002,001/001,001/002,000/000,001/002,001/001,001/002,002/002,002/002,001/001,000/000,002/002,001/002,001/002,002/002,001/001,001/002,001/001,001/001,001/002,002/002,001/001,002/002,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/002,002/002,001/001,001/002,002/002,001/001,001/002,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/002,002/002,001/002,001/002,001/001,001/002,001/001,001/001,002/002,001/001,001/002,001/001,002/002,002/002,001/002,002/002,001/002,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,002/002,001/002,001/001,001/001,002/002,002/002,001/002,002/002,002/002,002/002,002/002,001/003,029/030,010/013,022/039,004/004,007/012,008/014,007/024,012/017,011/013,011/012,003/004,003/008
KTE1_014,KTE1,002/002,001/002,001/002,001/002,002/002,001/002,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/002,001/002,001/001,002/002,001/002,001/002,001/002,002/002,001/001,002/002,001/001,001/002,002/002,001/001,001/001,002/002,002/002,001/002,002/002,002/002,002/002,001/002,001/002,001/002,001/001,002/002,001/001,001/002,001/001,001/001,000/000,001/001,001/001,002/002,001/002,001/002,001/002,002/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,001/002,002/002,002/002,001/001,002/002,001/002,002/002,001/001,002/002,001/002,002/002,001/001,001/001,002/002,002/002,001/002,002/002,001/001,002/002,001/002,001/002,001/001,001/002,001/002,001/002,001/002,001/002,001/002,002/002,001/003,029/029,009/011,032/036,002/002,007/018,008/009,005/024,017/017,000/000,013/016,004/004,008/010
KTE1_015,KTE1,001/002,001/001,002/002,001/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/001,002/002,001/001,002/002,001/001,001/002,001/002,001/001,001/001,002/002,001/001,001/001,001/001,001/001,002/002,000/000,001/002,002/002,002/002,002/002,002/002,002/002,001/002,001/001,001/001,002/002,001/001,002/002,002/002,001/001,001/002,001/001,001/002,002/002,001/002,001/002,002/002,001/002,002/002,002/002,002/002,001/001,001/001,001/002,001/001,001/002,001/002,002/002,001/001,001/002,002/002,002/002,002/002,001/002,001/002,002/002,001/002,001/001,001/002,001/001,002/002,001/002,002/002,002/002,002/002,001/001,002/002,001/001,001/002,001/001,001/001,001/001,002/002,000/000,001/001,002/002,002/002,002/002,002/002,003/006,028/031,004/013,031/039,002/004,009/017,008/009,025/028,013/017,010/011,010/016,003/004,003/008
KTE1_016,KTE1,001/002,000/000,001/002,001/002,002/002,001/002,001/002,001/001,001/001,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/001,001/002,002/002,001/001,002/002,001/002,001/001,002/002,002/002,001/001,002/002,001/002,001/002,001/001,001/001,001/002,002/002,002/002,001/002,002/002,002/002,002/002,002/002,002/002,001/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,001/001,001/001,002/002,001/002,002/002,001/001,002/002,001/001,001/002,002/002,001/002,001/001,001/001,001/001,001/002,002/002,002/002,001/002,002/002,002/002,001/002,002/002,001/001,002/002,002/002,001/002,001/002,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,002/002,002/002,001/002,001/001,002/002,001/002,001/001,002/002,001/002,001/001,002/002,001/001,030/032,007/012,029/036,002/008,007/011,010/025,004/005,011/014,011/015,013/016,004/004,008/008
KTE1_017,KTE1,001/001,001/002,001/001,001/002,002/002,001/002,002/002,001/001,001/002,001/001,001/001,002/002,002/002,002/002,002/002,002/002,001/001,001/002,002/002,002/002,002/002,001/002,001/001,001/002,002/002,001/001,002/002,001/002,001/002,002/002,001/001,000/000,001/001,001/002,002/002,002/002,002/002,002/002,002/002,001/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,001/002,001/001,002/002,002/002,001/002,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/001,001/001,001/002,002/002,002/002,002/002,001/001,002/002,001/002,001/002,002/002,001/002,002/002,002/002,001/002,002/002,002/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/002,002/002,001/001,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/001,000/000,003/010,029/032,004/005,030/037,002/004,007/007,008/011,005/015,008/008,013/013,012/014,004/004,003/008
KTE1_018,KTE1,001/002,001/002,002/002,002/002,002/002,001/002,001/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,002/002,001/002,001/001,001/001,002/002,001/001,002/002,001/001,001/002,001/002,002/002,001/001,002/002,001/001,001/002,002/002,001/001,001/002,001/002,001/002,001/001,002/002,002/002,002/002,002/002,001/001,001/002,001/002,002/002,001/001,002/002,001/002,001/001,001/002,001/001,001/001,002/002,001/001,002/002,001/001,002/002,001/001,001/002,002/002,002/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,001/001,001/001,001/002,001/002,002/002,001/001,002/002,002/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,002/002,002/002,001/002,001/002,002/002,002/002,002/002,001/001,031/032,012/014,028/044,002/002,005/007,008/009,019/025,017/018,013/016,010/016,004/004,003/003
KTE1_019,KTE1,001/002,002/002,001/001,002/002,002/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/002,001/001,002/002,001/001,002/002,001/002,002/002,001/001,001/001,001/001,001/002,001/001,001/001,002/002,001/001,001/001,002/002,002/002,001/002,002/002,001/002,002/002,002/002,002/002,001/002,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/002,002/002,001/002,002/002,000/000,001/002,001/002,001/001,002/002,001/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,002/002,001/002,001/001,001/002,000/000,002/002,002/002,001/001,002/002,002/002,001/001,002/002,001/001,002/002,001/002,001/002,001/001,002/002,001/002,001/002,002/002,002/002,002/002,001/002,003/012,031/031,010/016,029/035,002/004,007/010,010/027,005/006,018/019,004/011,018/018,004/005,003/008
KTE1_020,KTE1,001/002,001/001,001/002,002/002,002/002,001/001,002/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,000/000,002/002,001/002,001/002,002/002,002/002,002/002,001/001,001/001,001/001,002/002,001/001,002/002,001/001,000/000,001/001,001/001,001/002,002/002,000/000,001/002,002/002,002/002,002/002,002/002,001/001,002/002,000/000,002/002,001/001,002/002,001/001,001/001,001/001,001/001,001/002,002/002,000/000,001/001,001/001,002/002,001/001,001/001,002/002,001/002,001/002,001/001,002/002,002/002,002/002,002/002,001/001,002/002,001/002,002/002,002/002,001/001,002/002,002/002,001/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,002/002,002/002,001/001,001/002,001/001,001/002,001/001,002/002,001/002,001/001,002/002,000/000,001/002,002/002,003/005,029/030,005/014,029/037,001/002,004/014,008/008,004/023,012/018,012/013,013/020,004/008,003/003
KTE1_021,KTE1,001/001,001/002,001/002,002/002,001/002,001/001,001/002,001/001,001/001,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/001,001/002,002/002,002/002,002/002,001/002,001/002,001/002,001/002,001/001,001/002,001/001,001/001,001/002,001/001,001/001,001/002,002/002,001/002,001/002,002/002,002/002,002/002,001/002,001/002,001/001,002/002,001/002,002/002,000/000,001/001,001/001,001/001,001/001,002/002,001/002,001/002,001/002,001/002,001/001,001/001,002/002,001/002,001/001,001/001,002/002,002/002,001/002,002/002,001/002,002/002,002/002,001/002,002/002,001/002,002/002,001/002,001/001,001/001,001/002,001/002,002/002,001/001,001/002,002/002,002/002,001/002,002/002,001/001,002/002,001/002,001/001,001/001,001/002,001/002,001/002,002/002,002/002,002/002,002/002,003/003,029/031,009/011,025/028,002/007,002/007,009/016,006/027,011/013,010/013,008/012,004/004,008/008
KTE1_022,KTE1,001/001,001/002,001/001,002/002,002/002,001/002,001/002,001/001,002/002,002/002,001/002,002/002,001/001,001/002,001/002,002/002,001/002,001/002,001/002,001/002,001/002,001/001,001/001,001/001,001/002,001/001,002/002,001/002,001/002,001/002,001/001,001/002,002/002,002/002,002/002,002/002,002/002,002/002,002/002,001/001,001/001,002/002,002/002,001/001,002/002,001/001,001/001,001/002,001/001,001/001,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,001/001,001/002,001/001,001/002,001/002,001/002,001/002,001/001,002/002,001/002,001/002,002/002,001/001,002/002,002/002,001/002,001/001,002/002,001/001,001/002,001/001,001/002,001/002,002/002,001/001,002/002,001/002,002/002,001/001,001/002,001/001,002/002,001/002,001/001,001/002,001/002,002/002,002/002,001/004,027/031,005/012,027/030,002/002,009/010,004/008,020/027,012/017,011/014,014/016,004/008,003/008
KTE1_023,KTE1,001/002,002/002,002/002,002/002,002/002,001/002,002/002,001/001,000/000,001/001,001/001,002/002,002/002,001/002,002/002,002/002,001/001,001/002,002/002,002/002,001/002,001/001,000/000,001/001,002/002,001/001,002/002,001/002,001/001,001/002,001/001,002/002,001/002,002/002,002/002,002/002,001/002,002/002,002/002,001/001,002/002,001/001,002/002,001/001,001/002,001/002,001/001,001/002,001/001,001/002,002/002,002/002,001/002,002/002,002/002,001/002,001/001,000/000,001/001,001/001,001/001,002/002,001/002,001/002,002/002,001/001,001/002,001/002,001/002,002/002,001/001,002/002,001/002,001/002,001/001,002/002,002/002,002/002,001/002,001/002,002/002,002/002,001/001,002/002,001/001,002/002,001/001,001/001,001/001,002/002,002/002,001/002,002/002,002/002,001/002,002/002,003/003,030/033,011/014,032/043,002/002,009/021,010/018,005/006,013/016,003/012,009/014,004/005,003/003
KTE1_024,KTE1,002/002,002/002,001/002,002/002,002/002,001/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/002,001/002,002/002,001/002,001/002,002/002,001/001,002/002,000/000,001/002,001/001,002/002,001/002,002/002,001/002,001/001,002/002,001/001,001/002,001/002,001/002,001/002,001/002,002/002,002/002,001/002,001/001,001/001,002/002,002/002,001/002,001/002,001/001,001/002,001/002,001/001,001/002,002/002,001/001,002/002,001/002,001/002,001/001,001/001,002/002,001/001,001/001,001/001,002/002,001/001,002/002,002/002,001/001,002/002,002/002,002/002,001/002,001/001,002/002,001/002,002/002,001/002,001/001,001/001,002/002,001/002,001/001,002/002,002/002,001/002,002/002,001/002,001/002,001/002,001/001,001/001,002/002,001/002,001/002,002/002,002/002,001/002,002/002,004/004,023/028,003/004,034/036,002/002,009/010,008/009,004/005,018/022,006/015,008/012,004/005,003/003
KTE1_025,KTE1,001/001,002/002,001/002,002/002,002/002,002/002,002/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/002,002/002,001/001,001/002,002/002,001/001,002/002,001/001,001/001,001/001,002/002,001/001,002/002,001/002,001/001,001/002,001/001,001/001,001/002,001/001,001/001,002/002,001/002,002/002,002/002,001/001,001/001,001/001,002/002,001/001,001/002,001/001,001/001,001/001,001/001,001/002,002/002,001/002,002/002,001/002,001/002,001/001,001/001,002/002,001/002,001/001,001/001,001/002,002/002,002/002,002/002,001/001,001/002,002/002,001/002,002/002,001/001,002/002,002/002,002/002,001/002,001/001,001/002,002/002,001/002,001/001,001/002,002/002,001/001,002/002,001/002,001/002,001/001,001/001,001/001,001/002,002/002,001/001,002/002,001/001,002/002,002/002,001/005,028/028,011/013,034/040,002/002,009/018,020/020,006/030,013/015,006/014,015/016,004/008,003/003
KTE1_026,KTE1,001/002,002/002,002/002,002/002,002/002,001/001,002/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,002/002,002/002,001/002,001/001,002/002,001/002,002/002,001/002,001/001,001/002,001/002,001/001,002/002,001/001,001/001,002/002,001/001,001/001,002/002,002/002,001/002,002/002,001/002,002/002,002/002,001/001,001/001,001/001,002/002,001/001,002/002,001/001,001/001,002/002,001/001,001/001,002/002,002/002,001/002,001/001,002/002,001/001,001/001,002/002,002/002,001/001,001/001,001/002,002/002,001/002,002/002,001/001,002/002,002/002,001/002,002/002,001/001,002/002,002/002,001/002,001/002,001/001,001/002,002/002,001/001,000/000,002/002,002/002,001/001,002/002,001/001,001/001,001/001,001/001,001/001,002/002,002/002,002/002,002/002,001/002,002/002,002/002,003/003,028/030,012/013,039/041,002/004,010/025,006/008,005/006,016/017,013/014,012/017,004/005,003/008
KTE1_027,KTE1,001/002,002/002,001/002,002/002,001/002,001/002,002/002,001/001,001/002,002/002,001/001,002/002,001/001,001/002,002/002,002/002,001/002,001/001,002/002,001/002,002/002,001/001,001/002,001/002,001/002,001/001,002/002,001/001,001/002,002/002,001/001,002/002,001/002,001/002,001/002,002/002,001/002,001/002,001/002,001/002,001/001,001/002,002/002,001/002,001/002,001/002,001/001,001/002,001/001,001/001,002/002,002/002,001/001,001/001,002/002,001/001,001/001,001/002,001/002,001/001,001/001,001/001,001/001,001/002,002/002,001/001,000/000,001/002,001/002,002/002,001/001,002/002,002/002,002/002,001/002,001/002,000/000,002/002,001/002,001/001,002/002,002/002,001/002,000/000,001/001,001/002,001/002,001/001,001/001,002/002,002/002,001/002,002/002,002/002,002/002,002/002,001/003,023/036,007/011,035/047,002/002,007/010,007/025,014/028,008/018,013/014,011/014,004/004,003/003
