Ind	Pop	One_ACBP_79	One_agt_132	One_aldB_152	One_apoe_83	One_c3_98	One_CD9_269	One_cetn1_167	One_CFP1	One_cin_177	One_ctgf_301	One_E2	One_gdh_212	One_GHII_2461	One_ghsR_66	One_GPDH	One_GPDH2	One_GPH_414	One_hcs71_220	One_HGFA	One_HpaI_436	One_HpaI_99	One_Hsp47	One_IL8r_362	One_KCT1_453	One_KPNA_422	One_LEI_87	One_lpp1_44	One_metA_253	One_MHC2_190	One_MHC2_251	One_Mkpro_129	One_ODC1_196	One_Ots208_234	One_Ots213_181	One_p53_576	One_pax7_248	One_PIP	One_Prl2	One_rab1a_76	One_RAG1_103	One_RAG3_93	One_redd1_414	One_RF_112	One_RF_295	One_rpo2j_261	One_sast_211	One_spf30_207	One_srp09_127	One_ssrd_135	One_STC_410	One_STR07	One_SUMO1_6	One_sys1_230	One_taf12_248	One_Tf_ex10_750	One_Tf_ex3_182	One_tshB_92	One_txnip_401	One_U1003_75	One_U1004_183	One_U1009_91	One_U1010_81	One_U1012_68	One_U1013_108	One_U1014_74	One_U1016_115	One_U1024_197	One_U1101	One_U1103	One_U1105	One_U1201_492	One_U1202_1052	One_U1203_175	One_U1204_53	One_U1205_57	One_U1206_108	One_U1208_67	One_U1209_111	One_U1210_173	One_U1212_106	One_U1214_107	One_U1216_230	One_U301_92	One_U401_224	One_U404_229	One_U502_167	One_U503_170	One_U504_141	One_vamp5_255	One_vatf_214	One_VIM_569	One_ZNF_61	One_zP3b	One_Omy77v4	One_One100	One_One102v4	One_One103PT	One_One105	One_One108v4	One_One110v4	One_One111v4	One_One114v4	One_One115	One_Ots103v4	One_Ots107v4	One_uSat60v4	One_CO1	One_Cytb_17	One_Cytb_26
FBM1_011	FBM1	001/002	002/002	001/001	001/002	002/002	001/001	001/002	000/000	001/001	001/001	001/002	002/002	002/002	002/002	001/002	002/002	000/000	002/002	001/002	001/001	001/002	002/002	001/001	001/001	001/002	001/001	002/002	001/001	001/002	001/002	001/002	001/002	002/002	000/000	001/002	001/002	001/002	001/001	001/001	002/002	001/001	001/001	001/001	001/001	001/001	001/001	001/001	002/002	002/002	002/002	002/002	002/002	001/001	001/001	002/002	002/002	001/001	001/001	002/002	001/001	001/002	002/002	001/002	002/002	001/002	001/002	002/002	001/002	002/002	002/002	002/002	001/002	002/002	001/001	002/002	001/001	001/002	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	001/001	002/002	002/002	001/002	002/002	104/104	340/356	227/243	266/330	128/132	192/208	270/274	238/278	227/255	205/221	205/205	110/114	116/128	002	002	001
FBM1_012	FBM1	001/002	002/002	001/001	002/002	002/002	000/000	002/002	001/001	002/002	001/001	001/001	001/002	002/002	001/001	001/002	002/002	000/000	002/002	001/002	001/002	001/001	001/002	001/001	002/002	001/002	001/001	002/002	001/001	001/001	000/000	001/002	000/000	002/002	000/000	002/002	002/002	001/001	000/000	000/000	002/002	001/001	000/000	001/002	001/001	001/002	001/001	000/000	002/002	002/002	002/002	001/001	002/002	001/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	002/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	000/000	001/001	001/002	002/002	001/002	002/002	001/001	001/001	002/002	000/000	000/000	002/002	001/002	002/002	001/002	000/000	001/002	001/002	002/002	001/002	002/002	001/002	002/002	002/002	104/110	332/340	223/223	314/318	128/140	208/244	250/282	290/298	239/263	189/217	161/177	110/114	116/128	001	002	002
FBM1_013	FBM1	000/000	002/002	001/001	002/002	002/002	001/002	002/002	001/002	001/002	001/001	001/002	002/002	001/002	001/001	002/002	002/002	001/002	002/002	001/001	000/000	001/001	001/002	001/001	002/002	001/001	000/000	001/002	001/001	001/002	001/001	000/000	001/002	002/002	001/002	002/002	002/002	000/000	001/002	001/002	002/002	001/001	002/002	001/002	001/001	001/002	001/001	000/000	002/002	001/001	001/002	001/001	000/000	000/000	001/001	002/002	002/002	001/001	001/001	000/000	000/000	001/002	002/002	001/002	002/002	000/000	000/000	002/002	001/001	002/002	000/000	001/002	000/000	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/001	001/001	002/002	001/002	002/002	002/002	002/002	001/002	002/002	100/104	360/368	223/231	286/326	128/128	200/212	238/238	202/210	263/263	209/213	205/205	110/114	128/128	001	002	002
FBM1_014	FBM1	002/002	000/000	001/002	001/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	002/002	002/002	001/002	001/001	002/002	001/001	002/002	001/002	002/002	001/002	001/002	001/001	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/001	001/001	002/002	001/002	002/002	002/002	001/002	001/001	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	002/002	002/002	001/002	001/002	001/002	002/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	001/002	001/002	002/002	002/002	002/002	002/002	002/002	002/002	001/001	002/002	002/002	001/002	001/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	002/002	001/002	001/001	001/001	002/002	002/002	001/002	002/002	002/002	001/001	002/002	106/110	348/356	231/247	298/306	124/132	204/240	242/250	198/202	219/247	201/205	153/161	110/118	116/116	002	002	001
FBM1_015	FBM1	001/001	001/002	001/001	002/002	002/002	001/001	001/002	001/002	002/002	001/001	001/001	001/002	002/002	001/001	001/001	002/002	001/002	002/002	001/002	001/002	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/001	002/002	002/002	001/002	001/002	000/000	002/002	002/002	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/002	001/002	001/001	001/002	002/002	001/002	002/002	002/002	002/002	001/001	001/002	002/002	002/002	001/002	001/001	001/002	001/002	001/002	002/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	002/002	002/002	002/002	001/001	001/002	002/002	001/001	002/002	002/002	002/002	001/002	002/002	001/001	001/002	001/002	001/001	001/001	002/002	002/002	001/001	002/002	002/002	001/001	002/002	104/104	332/340	227/235	314/314	124/128	176/192	258/262	198/206	247/251	173/221	205/205	110/080	116/128	001	002	002
FBM1_016	FBM1	000/000	001/002	001/001	001/002	002/002	002/002	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	001/002	002/002	001/002	002/002	001/001	001/001	001/001	002/002	001/001	001/002	001/001	001/001	002/002	001/001	001/001	002/002	001/002	001/002	001/001	001/002	002/002	002/002	001/001	001/002	001/001	001/002	001/001	001/002	001/001	001/001	001/001	001/002	002/002	002/002	001/002	002/002	001/002	002/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/002	001/002	002/002	001/002	002/002	001/001	001/002	001/002	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	001/001	002/002	002/002	002/002	002/002	100/106	356/364	223/247	306/326	132/132	204/232	250/262	206/210	271/275	217/221	157/161	110/114	116/128	001	002	002
FBM1_017	FBM1	001/001	001/002	001/001	001/002	002/002	001/001	002/002	000/000	002/002	001/001	001/001	002/002	002/002	001/002	001/001	002/002	001/002	002/002	002/002	002/002	001/002	002/002	001/002	002/002	001/001	001/001	001/002	001/001	000/000	001/002	001/001	001/001	002/002	001/002	002/002	002/002	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	001/001	001/002	002/002	001/001	001/002	002/002	002/002	001/002	001/001	002/002	001/002	001/002	001/001	001/002	001/002	001/001	001/002	001/002	001/002	001/002	000/000	002/002	001/001	002/002	002/002	002/002	001/001	002/002	001/002	002/002	001/002	001/001	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/001	001/001	002/002	001/002	001/002	001/002	002/002	002/002	002/002	100/104	360/364	227/243	306/326	128/128	192/212	238/270	202/238	239/247	197/205	161/201	114/118	128/128	001	002	002
FBM1_018	FBM1	001/001	001/001	001/002	001/002	002/002	001/002	000/000	001/002	002/002	001/001	001/001	002/002	002/002	001/002	001/001	002/002	002/002	002/002	001/001	002/002	001/002	002/002	001/001	002/002	001/002	001/001	002/002	001/001	001/002	001/002	000/000	001/002	001/002	002/002	002/002	002/002	001/001	001/001	001/001	002/002	001/001	002/002	001/002	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/002	002/002	001/002	001/001	002/002	002/002	001/001	001/001	001/002	001/002	001/002	002/002	001/001	002/002	001/002	001/002	002/002	000/000	002/002	002/002	002/002	001/001	001/001	000/000	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	002/002	001/002	001/002	002/002	002/002	001/002	002/002	104/108	324/328	219/243	306/310	128/132	200/204	242/270	198/202	267/283	197/217	165/193	114/114	116/128	002	002	001
FBM1_019	FBM1	001/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	002/002	002/002	001/001	001/002	002/002	001/002	002/002	001/001	002/002	001/001	002/002	001/001	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/001	001/002	002/002	002/002	002/002	002/002	001/001	001/002	001/002	002/002	001/001	001/002	001/001	001/001	001/002	001/001	001/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/002	002/002	002/002	001/002	002/002	001/001	002/002	002/002	001/002	001/002	002/002	001/001	002/002	001/001	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/002	001/002	001/001	002/002	001/002	002/002	002/002	001/002	002/002	002/002	104/106	348/364	235/239	210/290	128/128	192/192	270/270	198/206	255/275	197/213	157/161	110/114	116/128	001	002	002
FBM1_020	FBM1	000/000	002/002	001/001	002/002	002/002	001/001	001/002	001/002	001/001	001/001	001/002	002/002	002/002	001/001	001/001	002/002	000/000	002/002	001/002	001/002	001/001	001/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	000/000	000/000	002/002	001/002	000/000	002/002	002/002	001/001	000/000	000/000	002/002	001/001	002/002	001/002	001/001	001/001	001/001	001/001	002/002	001/002	002/002	001/002	001/002	000/000	001/001	002/002	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	001/002	001/001	002/002	001/001	002/002	000/000	001/001	001/002	000/000	001/001	002/002	001/001	001/001	002/002	002/002	000/000	002/002	001/001	000/000	001/001	001/001	001/001	002/002	002/002	001/002	002/002	002/002	001/002	002/002	100/104	328/364	235/243	318/330	128/128	204/204	250/266	202/282	231/239	213/213	177/205	110/118	128/128	001	002	002
FBM1_021	FBM1	001/002	000/000	001/001	001/002	002/002	001/002	001/002	000/000	001/002	001/001	001/001	002/002	002/002	001/001	002/002	002/002	000/000	000/000	000/000	000/000	001/001	001/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	000/000	000/000	001/001	000/000	000/000	002/002	000/000	000/000	002/002	000/000	002/002	001/001	000/000	001/001	001/001	001/001	001/001	000/000	002/002	001/001	001/001	001/001	002/002	000/000	000/000	002/002	001/002	000/000	001/001	002/002	000/000	001/002	002/002	001/002	002/002	000/000	000/000	002/002	001/002	002/002	000/000	000/000	001/001	002/002	001/002	002/002	000/000	001/002	002/002	002/002	002/002	002/002	001/001	002/002	001/001	001/001	001/001	000/000	001/002	001/001	002/002	002/002	001/001	002/002	104/106	340/348	239/247	306/310	128/128	204/216	238/258	198/282	263/271	197/217	197/201	114/080	116/118	002	002	001
FBM1_022	FBM1	001/001	002/002	001/001	001/002	002/002	001/002	002/002	001/001	001/002	001/001	001/001	002/002	002/002	001/001	001/001	002/002	001/002	002/002	001/001	001/002	001/002	001/002	001/001	002/002	001/002	001/001	001/002	001/001	001/001	002/002	001/002	001/001	002/002	001/002	002/002	002/002	001/002	000/000	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	002/002	001/001	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	001/001	001/001	002/002	002/002	002/002	000/000	002/002	001/002	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/002	001/002	002/002	001/001	001/002	002/002	002/002	002/002	002/002	001/001	002/002	001/001	001/001	001/001	002/002	001/002	001/001	002/002	001/002	001/002	002/002	104/106	352/356	227/239	298/322	128/128	212/212	238/262	202/202	251/263	197/217	153/161	110/114	116/128	001	002	002
FBM1_023	FBM1	001/001	002/002	001/001	001/002	002/002	001/002	001/002	001/002	001/001	001/001	001/001	001/002	002/002	001/001	001/002	002/002	001/002	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/002	001/001	001/002	001/001	002/002	001/002	002/002	001/002	001/002	001/002	002/002	002/002	001/001	002/002	001/002	001/002	001/001	001/002	001/002	001/001	001/001	001/001	001/001	002/002	001/001	001/002	001/002	002/002	001/001	001/001	002/002	002/002	001/001	001/001	001/002	001/002	001/001	002/002	001/001	002/002	001/001	001/002	002/002	001/002	002/002	002/002	002/002	001/001	001/001	001/001	002/002	001/002	001/001	002/002	002/002	001/001	002/002	001/002	002/002	001/001	001/001	001/001	002/002	002/002	001/002	002/002	002/002	001/002	002/002	104/104	348/348	231/235	194/266	128/132	188/204	250/250	198/202	251/271	217/217	161/205	114/114	116/128	001	002	002
FBM1_024	FBM1	002/002	001/002	001/001	001/001	002/002	001/002	001/001	001/001	002/002	001/001	001/002	002/002	002/002	001/002	001/001	002/002	002/002	002/002	002/002	001/002	002/002	002/002	001/001	002/002	001/001	001/001	001/001	001/001	001/002	001/002	001/002	001/002	001/002	001/002	002/002	002/002	002/002	001/001	001/002	002/002	001/001	001/002	001/001	001/001	001/001	001/001	001/002	002/002	001/002	001/002	001/002	002/002	001/002	001/001	002/002	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/002	002/002	001/002	001/002	002/002	001/001	002/002	002/002	002/002	001/002	001/002	001/002	002/002	001/002	001/001	001/002	002/002	001/001	002/002	001/001	002/002	001/002	001/001	001/001	002/002	001/002	001/002	002/002	002/002	001/002	002/002	100/104	344/360	235/235	278/294	124/128	192/208	234/242	266/274	251/263	205/217	161/169	114/114	128/128	002	002	001
FBM1_025	FBM1	002/002	001/002	001/001	001/001	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/002	002/002	001/002	001/002	002/002	001/001	002/002	001/002	001/002	001/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	000/000	001/002	002/002	002/002	001/002	002/002	002/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/002	001/001	002/002	001/002	001/002	002/002	002/002	001/001	001/001	001/002	002/002	001/002	002/002	001/001	001/002	001/001	001/002	002/002	001/001	002/002	002/002	002/002	001/001	001/002	000/000	002/002	001/002	001/001	002/002	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	001/002	001/002	001/001	002/002	002/002	001/002	002/002	104/110	348/352	235/235	310/322	128/128	224/244	250/274	202/206	219/255	213/225	161/185	110/114	116/128	001	002	002
FBM1_026	FBM1	001/001	002/002	001/001	000/000	002/002	001/001	001/002	001/001	002/002	001/001	001/001	001/002	002/002	001/002	001/001	002/002	001/002	002/002	001/001	001/001	002/002	001/002	001/001	002/002	001/001	001/002	002/002	001/001	001/001	001/002	001/002	002/002	002/002	001/002	002/002	002/002	000/000	002/002	001/002	002/002	001/001	002/002	001/001	001/001	001/001	001/001	000/000	002/002	001/001	001/002	001/001	002/002	002/002	001/002	002/002	002/002	001/001	001/001	002/002	001/002	001/002	002/002	001/001	002/002	001/002	001/001	002/002	001/001	002/002	002/002	002/002	001/001	001/002	001/001	002/002	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/002	001/001	001/001	001/001	002/002	002/002	001/002	002/002	002/002	002/002	002/002	104/104	348/368	227/239	298/302	128/132	192/212	238/238	222/238	247/271	205/213	161/181	114/114	116/116	001	002	002
FBM1_027	FBM1	001/001	002/002	001/001	001/001	002/002	002/002	002/002	001/001	002/002	001/001	001/001	001/002	001/002	001/002	001/002	002/002	001/001	000/000	001/001	001/001	002/002	002/002	001/001	002/002	001/001	001/001	002/002	001/001	001/002	001/002	001/002	002/002	002/002	001/002	002/002	001/002	002/002	001/002	002/002	002/002	001/001	002/002	001/001	001/001	001/002	001/001	001/001	002/002	001/002	001/001	001/002	001/002	001/002	001/001	002/002	002/002	001/001	001/001	000/000	002/002	002/002	002/002	001/001	002/002	002/002	001/002	002/002	000/000	002/002	002/002	002/002	002/002	001/002	001/002	002/002	001/001	001/002	002/002	002/002	001/001	002/002	001/001	002/002	001/001	001/001	001/001	002/002	002/002	002/002	001/002	002/002	001/002	002/002	104/106	356/356	239/247	294/302	128/128	204/212	238/250	198/294	271/283	197/221	161/161	114/118	128/128	002	002	001
